IdVenta;Fecha;IdCliente;IdProducto;IdTienda;IdVendedor;IdMetodoPago;Cantidad;Precio;Total
VT0001;2025-06-03;C008;P016;T003;VEND05;3;1;1416;1416
VT0002;2025-06-10;C001;P020;T005;VEND07;3;3;3515;10545
VT0003;2025-06-27;C022;P019;T005;VEND03;1;3;384;1152
VT0004;2025-12-03;C027;P013;T002;VEND08;1;3;827;2481
VT0005;2025-06-19;C028;P012;T004;VEND04;1;3;1634;4902
VT0006;2025-06-24;C013;P003;T004;VEND03;4;2;2839;5678
VT0007;2025-04-16;C020;P015;T001;VEND08;2;1;1319;1319
VT0008;2025-02-09;C003;P001;T001;VEND06;4;2;4307;8614
VT0009;2025-10-13;C027;P006;T005;VEND04;1;1;1972;1972
VT0010;2025-01-03;C030;P010;T004;VEND08;4;2;810;1620
VT0011;2025-01-10;C030;P016;T002;VEND04;3;1;1416;1416
VT0012;2025-06-27;C019;P005;T002;VEND02;2;1;4824;4824
VT0013;2025-02-04;C008;P015;T004;VEND05;4;2;1319;2638
VT0014;2025-07-20;C014;P003;T004;VEND07;4;3;2839;8517
VT0015;2025-06-21;C025;P006;T004;VEND07;5;1;1972;1972
VT0016;2025-06-19;C024;P013;T005;VEND02;3;1;827;827
VT0017;2025-08-09;C010;P001;T003;VEND05;5;2;4307;8614
VT0018;2025-03-09;C012;P006;T002;VEND01;4;3;1972;5916
VT0019;2025-05-29;C029;P012;T005;VEND03;3;2;1634;3268
VT0020;2025-06-06;C023;P015;T004;VEND08;5;2;1319;2638
VT0021;2025-08-29;C024;P017;T005;VEND08;4;3;1954;5862
VT0022;2025-08-25;C004;P010;T004;VEND03;5;2;810;1620
VT0023;2025-05-17;C001;P006;T001;VEND06;1;1;1972;1972
VT0024;2025-06-24;C015;P003;T003;VEND02;4;3;2839;8517
VT0025;2025-03-06;C013;P004;T002;VEND05;1;1;1893;1893
VT0026;2025-12-28;C008;P004;T005;VEND03;3;2;1893;3786
VT0027;2025-03-19;C007;P019;T004;VEND06;5;1;384;384
VT0028;2025-12-11;C025;P011;T005;VEND07;3;3;699;2097
VT0029;2025-08-19;C007;P015;T001;VEND06;5;3;1319;3957
VT0030;2025-01-13;C025;P014;T004;VEND08;1;1;1746;1746
VT0031;2025-05-20;C029;P004;T003;VEND08;5;3;1893;5679
VT0032;2025-10-19;C021;P013;T005;VEND07;5;1;827;827
VT0033;2025-10-17;C024;P013;T001;VEND06;2;2;827;1654
VT0034;2025-11-17;C006;P012;T004;VEND04;3;3;1634;4902
VT0035;2025-03-21;C012;P013;T002;VEND06;5;3;827;2481
VT0036;2025-08-06;C011;P020;T004;VEND05;1;1;3515;3515
VT0037;2025-01-19;C019;P019;T005;VEND03;4;2;384;768
VT0038;2025-07-06;C022;P005;T002;VEND05;3;2;4824;9648
VT0039;2025-08-21;C011;P014;T002;VEND08;3;2;1746;3492
VT0040;2025-07-13;C004;P013;T004;VEND04;4;3;827;2481
VT0041;2025-06-05;C016;P004;T001;VEND04;3;3;1893;5679
VT0042;2025-08-29;C029;P018;T005;VEND08;4;2;1865;3730
VT0043;2025-08-05;C012;P017;T004;VEND01;2;3;1954;5862
VT0044;2025-05-11;C029;P008;T001;VEND01;2;1;2775;2775
VT0045;2025-07-01;C002;P019;T003;VEND02;1;1;384;384
VT0046;2025-07-28;C012;P011;T005;VEND07;3;2;699;1398
VT0047;2025-07-28;C018;P013;T003;VEND06;2;3;827;2481
VT0048;2025-12-26;C018;P017;T001;VEND03;2;3;1954;5862
VT0049;2025-05-04;C017;P009;T004;VEND06;4;3;2225;6675
VT0050;2025-06-25;C004;P013;T004;VEND05;3;2;827;1654
VT0051;2025-01-01;C002;P014;T004;VEND04;4;1;1746;1746
VT0052;2025-10-06;C016;P003;T002;VEND01;5;2;2839;5678
VT0053;2025-01-23;C004;P013;T001;VEND02;1;2;827;1654
VT0054;2025-10-13;C029;P014;T005;VEND02;4;3;1746;5238
VT0055;2025-09-14;C009;P010;T005;VEND03;5;3;810;2430
VT0056;2025-01-30;C005;P011;T003;VEND05;3;3;699;2097
VT0057;2025-10-04;C006;P018;T004;VEND07;2;2;1865;3730
VT0058;2025-11-12;C005;P009;T004;VEND07;1;2;2225;4450
VT0059;2025-05-22;C018;P013;T005;VEND03;1;2;827;1654
VT0060;2025-01-19;C006;P004;T003;VEND06;1;1;1893;1893
VT0061;2025-12-15;C030;P014;T002;VEND06;4;1;1746;1746
VT0062;2025-12-06;C025;P004;T002;VEND06;2;2;1893;3786
VT0063;2025-06-02;C012;P005;T003;VEND05;2;3;4824;14472
VT0064;2025-10-09;C010;P009;T003;VEND05;5;1;2225;2225
VT0065;2025-02-01;C011;P013;T004;VEND06;5;1;827;827
VT0066;2025-04-29;C011;P006;T003;VEND01;4;2;1972;3944
VT0067;2025-02-13;C003;P020;T001;VEND01;5;3;3515;10545
VT0068;2025-05-16;C019;P019;T004;VEND04;4;2;384;768
VT0069;2025-07-20;C018;P008;T004;VEND06;5;1;2775;2775
VT0070;2025-11-08;C013;P013;T001;VEND02;3;1;827;827
VT0071;2025-09-21;C022;P012;T004;VEND05;1;2;1634;3268
VT0072;2025-11-14;C003;P015;T001;VEND01;5;3;1319;3957
VT0073;2025-08-17;C001;P002;T003;VEND07;1;2;3649;7298
VT0074;2025-01-04;C011;P007;T002;VEND08;3;3;4860;14580
VT0075;2025-04-15;C009;P019;T005;VEND01;4;1;384;384
VT0076;2025-08-15;C004;P011;T002;VEND04;5;3;699;2097
VT0077;2025-12-16;C014;P004;T004;VEND03;2;3;1893;5679
VT0078;2025-07-17;C009;P011;T005;VEND03;4;1;699;699
VT0079;2025-10-02;C013;P017;T005;VEND08;5;2;1954;3908
VT0080;2025-09-23;C024;P006;T002;VEND08;2;3;1972;5916
VT0081;2025-07-03;C007;P007;T003;VEND08;5;1;4860;4860
VT0082;2025-02-14;C013;P005;T003;VEND07;4;1;4824;4824
VT0083;2025-02-04;C019;P008;T002;VEND08;4;1;2775;2775
VT0084;2025-05-24;C001;P006;T002;VEND03;2;1;1972;1972
VT0085;2025-03-01;C010;P005;T002;VEND07;5;2;4824;9648
VT0086;2025-03-15;C007;P009;T002;VEND06;5;2;2225;4450
VT0087;2025-02-28;C018;P007;T002;VEND07;4;2;4860;9720
VT0088;2025-08-28;C026;P017;T004;VEND01;5;1;1954;1954
VT0089;2025-12-21;C021;P016;T004;VEND06;1;3;1416;4248
VT0090;2025-01-09;C024;P007;T003;VEND07;1;3;4860;14580
VT0091;2025-02-25;C022;P011;T002;VEND02;1;1;699;699
VT0092;2025-10-23;C015;P015;T003;VEND06;1;1;1319;1319
VT0093;2025-01-16;C004;P008;T002;VEND01;5;3;2775;8325
VT0094;2025-05-08;C029;P013;T003;VEND08;4;2;827;1654
VT0095;2025-12-01;C026;P001;T005;VEND07;5;3;4307;12921
